business_name,country,city,zone,reason,matched_existing_record,matched_source_file,source_url
Clínica Dental Cuidado Bucal,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554836886
Consultorio Dentalihc,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554857891
Láser Dental Metepec Consultorio Dental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554878780
Quiropractico,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12554905598
Taller Optico Garcia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12559312995
Roncamedic Cosultorio,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12559345339
Vida Sana,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12559448896
Laboratorio Dental Lurjai,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12560281714
Ona- Nutricion,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12560290040
Agroveterinaria Lerdo,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12560581419
Silueta 7,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12563234238
Total Femme,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,https://www.total-femme.com/,,https://www.openstreetmap.org/node/12564322051
Ortodoncia Dr. Angulo,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12564360116
Pedicuristas de Toluca,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12564635931
Cirujano Dentista,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12564662037
Consultorio dental Xam,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12565534113
Clinica Dental Integral De Endodoncia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566358515
Consultorio De Psicoterapia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566411225
Consultorio De Psicología Clínica,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566674871
Consultorio De Dermatología Pediátrica,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566689834
"Consultorio Psicoterapia Integral ""Yo Soy""",Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566717449
Clinica San Sebastian,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566719201
Consultorio De Psicoterapia Física,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566719202
Clínica Quiropodista,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566721945
Smile Art,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566738006
Proveedora De Productos y Equipos Dentales,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566747182
Reiki Association International México,Mexico,Metepec,Metepec/Toluca premium,El registro público incluye un sitio web oficial; se excluye para evitar negocios con web moderna.,www.raimexico.com.mx,,https://www.openstreetmap.org/node/12566770902
Consultorio Acupuntura,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566950657
Consultorio Psicología Pi2,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566950658
Consultorio Dental Forever Smile,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12566996259
Veterinaria Tolotzin,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12568447773
Dental Care,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12568539709
iDental,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12568549515
Consultorio de odontologia general y ortodoncia,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12568582038
Consultorio Odontopediatrico,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12569147260
Medical Centro de Medicina Alternativa,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12572790024
Medico Anestecista,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12572809600
Temascal Maria Magadalena Del Coporo,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12572817346
Consultorio de Ortopedia y Traumatología,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12572830139
El Hidalguense,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12574244932
English Studio Mx,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12574449034
Medicina Integrativa,Mexico,Metepec,Metepec/Toluca premium,Country quota already filled for campaign mix.,,,https://www.openstreetmap.org/node/12574492259
